tsales;sales;margin;nown;nfull;npart;naux;hoursw;hourspw;inv1;inv2;ssize;start
495340;4953.3999;41;2;1.9231;1.5946;1.5357;86;12.192701;17166.666;27177.035;100;41
1000000;7142.8569;42;4;3;1;1.3333;190;20.357216;180000;100000;140;42
694227;6311.1548;38;1;1.9556;1.2833;1.3673;80;14.269916;5000;5000;110;38
976817;6302.0449;41;1;1;2.0741;1;128;25.226149;62269.23;3000;155;41
156168;3123.3601;35;1;1.9556;1;1.3673;48;9.0176411;22207.037;5000;50;35
400000;1818.1818;41;1;1;1;1.3673;98;22.439493;22207.037;22859.854;220;41
179655;2530.3521;35;1;1.9556;1.2833;1.3673;43;7.6700797;2850;3640;71;35
876000;6257.1431;40;1;1;2.2221999;1;96;18.383057;292857.16;71570.555;140;40
301133;2316.4077;39;2;1.9556;1.2833;1.3673;95;14.38043;22207.037;30000;130;39
495340;11257.728;39;2;1.9556;1.2833;1.3673;55;8.3255119;22207.037;2000;44;39
301133;3764.1626;35;1;1.9231;1;1.5357;64;11.724189;17166.666;27177.035;80;35
853000;7049.5869;46;1;1;1;1.3333;118;27.230978;62269.23;1200;121;46
976817;4884.085;49;2;1;1;1.3673;141;26.270191;5000;1000;200;49
1894931;5573.3267;39;1;3;2;2;204;25.5;2000;5000;340;39
976817;6105.1064;31;2;1;1;1.3673;126;23.475491;22207.037;22859.854;160;31
694227;4958.7642;31;2;2.2656;1;1;144;22.982635;20000;5000;140;31
495340;4307.3042;31;1;1;1.2833;1.3673;110;23.652863;22207.037;5000;115;31
694227;1735.5675;25;1;3;1;1.3673;192;30.154068;230000;15000;400;25
976817;10282.284;41;1;2.2656;1;1.3333;80;14.288521;8000;16624.895;95;41
976817;5141.1421;39;2;3;1;1.5357;183;24.284407;17166.666;10000;190;39
815000;5821.4287;30;1;1;2.0741;1.3333;100;18.493176;62269.23;16624.895;140;30
495340;6604.5332;44;2;2.2656;2.0741;1;104;14.169517;62269.23;16624.895;75;44
1718000;8590;47;1;4;1.2833;1.3673;282;36.859856;22207.037;10000;200;47
875000;14583.333;37;2;4.3590002;2.2221999;1.4091001;86;8.6083498;292857.16;71570.555;60;37
790000;2633.3333;40;1;2;2.0741;1.3333;114;17.791927;62269.23;16624.895;300;40
495340;3538.1428;39;2;2.2656;2.0741;1.3333;80;10.426169;62269.23;16624.895;140;39
1850000;12333.333;41;1;5;1.2833;1.3673;228;26.356554;22207.037;22859.854;150;41
549000;4575;41;2;1;2.0741;1.3333;88;13.73412;25000;16624.895;120;41
745000;2660.7144;41;2;2;2.0741;1.3333;126;17.010017;62269.23;16624.895;280;41
694227;7713.6333;41;1;1.9231;1;1;62;12.593691;2500;2500;90;41
156168;3904.2;37;1;1.9556;1.2833;1.3673;43;7.6700797;22207.037;22859.854;40;37
976817;15027.954;43;1;1.9556;1;1;78;15.739769;22207.037;5000;65;43
450000;5000;39;1;2;1.5946;1.5357;117;19.085526;17166.666;27177.035;90;39
156168;3904.2;37.461498;1;1.9556;1.2833;1.3673;70;12.486176;1300;22859.854;40;41.6731
700000;5833.3335;41;1;1;1.2833;1.3673;81;17.417107;22207.037;22859.854;120;41
498000;2490;40;1;2.2656;2.0741;2;80;10.899628;62269.23;3000;200;40
1421000;4736.6665;38;2;2;1.5946;1;166;25.17211;17166.666;27177.035;300;38
1600000;3200;39;2;5;2.2221999;1.4091001;280;26.337324;400000;400000;500;39
510000;3923.0769;41;2;1.9556;1.2833;1.3673;100;15.137296;22207.037;22859.854;130;41
694227;4628.1802;33;1;1.9231;1;1;110;22.343645;17166.666;27177.035;150;33
700000;3111.1111;41;1;1;1.2833;1.3673;81;17.417107;22207.037;22859.854;225;41
694227;3305.8428;41;1;1.9231;1.5946;1.5357;82;13.546106;17166.666;27177.035;210;41
312107;2837.3364;38;2;1.9231;1.5946;1.5357;104;14.744662;17166.666;2250;110;38
301133;8603.7998;37;1;1.9556;1.2833;1.3673;43;7.6700797;22207.037;22859.854;35;37
156168;1382.0177;37;1;1.9556;1.2833;1.3673;104;18.55089;22207.037;22859.854;113;37
301133;3764.1626;31;1;1.9556;1;1.3673;66;12.399256;22207.037;22859.854;80;31
301133;3011.3301;35;1;1;1.2833;1;63;14.708285;22207.037;1000;100;35
301133;3345.9221;39;1;1.9556;1.2833;1;63;12.025425;22207.037;1250;90;39
495340;3538.1428;37;1;1.9231;1.5946;1;84;15.223735;17166.666;150000;140;37
1926395;5206.4731;47;1;5;3;1;296;29.6;292857.16;20000;370;47
1022300;10223;42;1.2228;2;2;1;122;19.605322;22207.037;22859.854;100;42
1343500;19192.857;42;1.2228;3;2;1.3673;154;20.289587;22207.037;22859.854;70;42
1290500;18435.715;42;1.2228;3;2;1;148;20.490669;22207.037;15000;70;42
550000;4583.3335;37;2;1.9231;1;1.5357;152;23.533783;17166.666;27177.035;120;37
2053200;14665.714;45;1.2228;5;1;1.3673;210;24.446747;22207.037;11500;140;45
495340;12383.5;37.461498;1;1.9556;1.2833;1.3673;100;17.837395;22207.037;22859.854;40;41.6731
680000;7083.3335;45;2;1.9556;1.2833;1.3673;104;15.742787;22207.037;1000;96;45
800000;9411.7646;43;1;1;1.5946;1.5357;130;25.339649;1000;27177.035;85;43
235000;2350;37.461498;1;1.9556;1.2833;1.3673;43;7.6700797;22207.037;22859.854;100;41.6731
976817;4884.085;41;1;1;1.2833;1.3673;90;19.352341;22207.037;22859.854;200;41
400000;8000;39;1;1.9231;1.5946;1.5357;132;21.805927;17166.666;27177.035;50;39
625000;6944.4443;36;1;1.9556;1.2833;1;90;17.179178;190000;22859.854;90;36
777362;5182.4136;32;1;1.9556;1.2833;2;92;14.746189;22207.037;22859.854;150;32
976817;4884.085;39;1;1.9556;2;1.3673;104;16.448149;22207.037;22859.854;200;39
301133;5018.8833;49;1;1.9556;1.2833;1.3673;65;11.594306;22207.037;22859.854;60;49
800000;8000;39;1;1.9556;1.2833;1;88;16.797419;20000;20000;100;39
495340;4953.3999;37;1;1.9556;1;1.3673;74;13.902196;22207.037;5000;100;37
553809;6153.4331;42;1;2.2656;2.0741;1;61;9.6219063;62269.23;16624.895;90;42
976817;6977.2642;45;2;2;2;1.5357;162;21.497671;17000;2500;140;45
425000;2361.1111;36;2;2.2656;2.0741;1.3333;80;10.426169;325000;16624.895;180;36
495340;1981.36;39;1;2.2656;2.0741;1.3333;120;17.982916;62269.23;16624.895;250;39
495340;4503.0908;31;1;2.2656;2.0741;1.3333;72;10.78975;62269.23;16624.895;110;31
301133;3764.1626;41;1;1.9556;1;1.3673;52;9.7691107;22207.037;22859.854;80;41
876845;5480.2813;42;1;1;1;1.3333;126;29.077147;350000;16624.895;160;42
420000;14000;38;1;1;2.0741;1.3333;80;14.79454;62269.23;16624.895;30;38
694227;5833.8403;41;2;2.2656;1;1.3333;108;16.366364;62269.23;16624.895;119;41
156168;1952.1;41;1;1.9556;1;1.3673;71;13.338593;10000;5000;80;41
495340;8255.667;41;1;1.9556;1;1.3673;62;11.647786;22207.037;22859.854;60;41
694227;4338.9189;39;2;1.9556;2;1.3673;125;17.06974;100000;10000;160;39
1033543;4306.4292;41;1;1;2;1.5357;188;33.961376;17166.666;27177.035;240;41
200005;2500.0625;41;1;1.9556;1.2833;1.3673;52;9.275445;22207.037;22859.854;80;41
1158200;8516.1768;41;2;2;2.2221999;1.4091001;128;16.773027;292857.16;5800;136;41
393000;2079.365;40;1;2.2656;2.0741;1;63;9.9373789;62269.23;16624.895;189;40
77369;4835.5625;33;1;1.9556;1.2833;1.3673;62;11.059184;22207.037;22859.854;16;33
156168;1952.1;25;1;1.9556;1.2833;1.3673;32;5.7079663;2500;22859.854;80;25
1926395;3210.6584;41;2;5;2.0741;1.3333;271;26.039164;62000;14000;600;41
976817;9768.1699;44;1;1;1.2833;1.3673;72;15.481874;22207.037;22859.854;100;44
694227;3305.8428;41;1;1;1;1.3673;118;27.018982;22207.037;10000;210;41
301133;3345.9221;33;1;1.9556;1.2833;1.3673;42;7.4917054;6750;1500;90;33
687800;7642.2222;37;1;1;2.0741;1.3333;87;16.089064;62269.23;1250;90;37
949840;2713.8286;37;1;2;1.2833;1.3673;122;21.590628;22207.037;1200;350;37
694227;5553.8159;40;1;1;3;1.3333;114;18.000095;62269.23;14500;125;40
976817;2790.9058;28;1;1;2.2221999;1.4091001;117;20.77673;1500000;300000;350;28
400000;2857.1428;43;1;1.9556;1.2833;1.3673;100;17.837395;10000;3000;140;43
495340;3002.0605;31;1;1.9556;1.2833;1.3673;72;12.842924;2000;3000;165;31
301133;2007.5533;28;2;1.9556;1.2833;1.3673;100;15.137296;22207.037;22859.854;150;28
3543400;9842.7773;38;1;5;1.2833;1;244;29.45686;22207.037;22859.854;360;38
495340;3538.1428;38;1;1.9556;1.2833;1;51;9.734868;22207.037;2500;140;38
1283500;8556.667;41;2;1;2;1.3673;142;22.301447;22207.037;22859.854;150;41
976817;5745.9824;33;2;2.2656;2.0741;1;151;20.573048;62269.23;16624.895;170;33
767905;5485.0356;39;1;2.2656;2.0741;1;102;16.089088;62269.23;15000;140;39
832000;4622.2222;43;1;1.9231;1.5946;1.5357;75;12.389731;17166.666;600;180;43
495340;4953.3999;39;2;2.2656;2.0741;1.3333;70;9.1228981;230000;3500;100;39
1300000;11304.348;39;1;2;1.2833;1.3673;160;28.315577;22207.037;22859.854;115;39
976817;13954.528;41;1;1;2.2221999;1.4091001;92;16.337257;292857.16;71570.555;70;41
976817;12210.213;42;2;1.9231;1;1.5357;120;18.579302;17166.666;5000;80;42
630000;4500;36;1;1;1.5946;1.5357;104;20.271719;17166.666;1800;140;36
694227;5340.2075;39;2;2.2656;2.0741;1;124;16.894423;62269.23;5000;130;39
976817;5280.0918;41;1;2.2656;2;1.3333;100;15.154041;2000;2000;185;41
1378586;7877.6343;44;1;2;2;2;175;25;292857.16;25000;175;44
145000;2900;37;1;1.9556;1.2833;1.3673;62;11.059184;22207.037;22859.854;50;37
1943500;24293.75;35;2;2.2656;2.0741;1;318;43.326023;150000;16624.895;80;35
301133;6022.6602;31;1;1.9556;1.2833;1.3673;80;14.269916;22207.037;22859.854;50;31
1000000;5000;40;2;2;2.2221999;1;180;24.923153;5000;1000;200;40
775000;12916.667;39;2;1.9556;1.2833;1.3673;120;18.164755;22207.037;22859.854;60;39
1223975;7649.8438;41;1;1;1;1.3333;132;30.461773;62269.23;6000;160;41
694227;4083.6882;42;1;1.9556;1;1.3673;72;13.526462;22207.037;22859.854;170;42
976817;9768.1699;52;1;1.9556;1.2833;1.3673;120;21.404873;5000;2500;100;52
1350000;6192.6606;33;1;2;2.0741;1.3333;116;18.104067;62269.23;2000;218;33
390000;5571.4287;42;1;1.9231;1.5946;1.5357;86;14.206892;17166.666;27177.035;70;42
535000;4458.3335;34;1;1.9556;1.2833;1;80;15.270381;22207.037;6500;120;34
2500000;10416.667;16;1.2228;4;1;4;199;19.466291;22207.037;22859.854;240;16
1926395;17512.682;41;2;4;1.2833;1.3673;240;27.74374;22207.037;30000;110;41
524000;6550;38;1;1.9556;1.2833;1.3673;62;11.059184;22207.037;80000;80;38
729353;9116.9121;33;2;2.2656;1;1.3333;114;17.275606;62269.23;16624.895;80;33
620000;2254.5454;42;2;1;1.5946;1;103;18.41061;17166.666;8500;275;42
1223000;11759.615;35;1;1;1.2833;1;91;21.245302;22207.037;25000;104;35
625000;8333.333;41;1.2228;1;1;1.3673;65;14.160912;22207.037;5000;75;41
538055;4483.7915;42;1.3238;1;2;1;96;18.032232;62269.23;16624.895;120;42
250000;4545.4546;41;1;1.9556;1.2833;1;51;9.734868;22207.037;22859.854;55;41
301133;9410.4063;41;1;1.9556;1.2833;1;51;9.734868;22207.037;22859.854;32;41
77369;1487.8654;35;1;1.9556;1.2833;1.3673;40;7.1349578;22207.037;22859.854;52;35
1378586;13785.86;41;1;2;2;1.5357;147;22.491852;17166.666;27177.035;100;41
495340;6191.75;34;1;1.9556;1.2833;1;85;16.224779;9000;2000;80;34
333000;2081.25;49;1;1.9231;1.5946;1;75;13.59262;4500;27177.035;160;49
1378586;6892.9302;49;1;1;2.0741;2;111;18.274313;62269.23;16624.895;200;49
301133;2007.5533;31;1;1.9556;1.2833;1.3673;82;14.626663;22207.037;22859.854;150;31
340000;4250;37;1;1.9556;1.2833;1;71;13.552464;22207.037;1200;80;37
976817;5426.7612;44;1;2.2656;1;1;98;18.611364;62269.23;16624.895;180;44
1926395;7269.415;41;1;2;2;1.3333;184;29.052784;20000;16624.895;265;41
1001500;3576.7856;35;1;2;1;2;174;29;22207.037;80000;280;35
301133;6022.6602;37.461498;1;1.9556;1.2833;1.3673;71;12.66455;22207.037;22859.854;50;41.6731
750000;3750;38;1;1;2.0741;1.3333;131;24.226061;62269.23;16624.895;200;38
694227;3085.4534;39;2;1;2.0741;1;128;21.07308;62269.23;16624.895;225;39
495340;4953.3999;44;2;1;1.2833;1.3673;120;21.236683;2500;2500;100;44
750000;7500;41;1;1;1.2833;1.3673;98;21.07255;22207.037;22859.854;100;41
694227;5340.2075;33;1;1.9556;1.2833;2;78;12.502204;22207.037;10000;130;33
750000;7653.061;39;1;1.9556;1.2833;1.3673;104;18.55089;22207.037;22859.854;98;39
400000;3333.3333;30;1;2.2656;2.0741;1;59;9.3064337;62269.23;16624.895;120;30
1200000;6000;36;2;3;1.5946;4;192;18.12244;20000;45000;200;36
694227;2169.4595;39;1;1;1;1.3333;94;21.692474;2000;16624.895;320;39
250000;2272.7273;41;1;1.9556;1.2833;1;63;12.025425;22207.037;22859.854;110;41
976817;4884.085;44;1;3;1;1.4091001;196;30.581516;292857.16;71570.555;200;44
845000;4225;40;1;1;2;1;144;28.799999;17166.666;27177.035;200;40
1926395;12842.634;44;1;5;4;1.4091001;297;26.031851;292857.16;71570.555;150;44
976817;2382.4805;66;1;4;3;1;313;34.777779;17166.666;72000;410;66
600000;5454.5454;32;2;1;1.2833;1.3673;90;15.927512;22207.037;22859.854;110;32
694227;9917.5283;39;1;4.3590002;2.2221999;1.4091001;150;16.684649;292857.16;71570.555;70;39
760000;5066.6665;34;2;1.9231;1.5946;2;86;11.439669;17166.666;27177.035;150;34
976817;9768.1699;41;1;4;1.2833;1.3673;191;24.965363;25000;25000;100;41
156168;6246.7202;37.461498;1;1.9556;1.2833;1.3673;104;18.55089;80000;22859.854;25;41.6731
495340;6191.75;38;1;1;1.2833;1.3673;120;25.803122;22207.037;22859.854;80;38
1378586;5143.9775;28;2;3;1;1.3673;212;28.775806;22207.037;5000;268;28
1164149;12934.989;37;1;1;1;1.3333;128;29.538689;62269.23;16624.895;90;37
1200000;8000;40;1;1.9556;1.2833;2;97;15.547612;50000;275000;150;40
976817;12210.213;38;1;1.9556;2;1.3673;93;14.708441;22207.037;22859.854;80;38
694227;9256.3604;41;1.2228;2;1.2833;1.3673;80;13.62073;22207.037;22859.854;75;41
694227;3305.8428;42;1;1;3;1.3333;102;16.105349;62269.23;16624.895;210;42
694227;4958.7642;44;1;1;3;1.3333;102;16.105349;62269.23;16624.895;140;44
694227;4958.7642;44;1;1;2;1;92;18.4;62269.23;5000;140;44
1926395;4815.9873;42;3;2;1;1;297;42.42857;22207.037;400000;400;42
301133;3764.1626;41;1;1.9556;1.2833;1.3673;90;16.053656;22207.037;22859.854;80;41
1340000;8375;43;2;1;2;1.3333;179;28.263308;62269.23;13000;160;43
785000;4361.1113;39;1.3238;1;2;1.3333;74;13.080907;30000;10000;180;39
1400000;4117.647;40;1.3238;3;2;1.3333;142;18.54488;62269.23;20000;340;40
2700000;27000;40;1;3;1.2833;1.3673;160;24.05798;22207.037;9000;100;40
1926395;8756.3408;43;1;4;1;1;236;33.714287;292857.16;60000;220;43
694227;6428.0278;44;1;1.9556;1.2833;1.3673;80;14.269916;22207.037;22859.854;108;44
600000;6000;39;1;1;1.5946;1.5357;81;15.78855;17166.666;27177.035;100;39
976817;8880.1543;39;1;3;1.2833;1.3673;170;25.561604;100000;150000;110;39
694227;5785.2251;37;1;1;2;1.3333;120;22.500141;62269.23;75000;120;37
694227;4338.9189;31;2;1;1;1.3673;116;21.612356;22207.037;22859.854;160;31
495340;4127.8335;40;1;1.9231;1;1.5357;114;20.883711;11000;27177.035;120;40
495340;3669.1853;39;1;1.9231;1.5946;1.5357;70;11.563749;17166.666;27177.035;135;39
350000;2916.6667;38;1;1;1.2833;1.3673;90;19.352341;15000;15000;120;38
77369;910.22351;21;1;1.9556;1.2833;1.3673;45;8.0268278;22207.037;22859.854;85;21
976817;5141.1421;41;1;2;1;1.4091001;190;35.125992;1000;71570.555;190;41
1475000;4402.9849;41;1;2;2;1.3333;170;26.842247;62269.23;16624.895;335;41
795655;1768.1222;41;2;2;1.5946;1.5357;160;22.439449;17166.666;27177.035;450;41
570000;5700;40;1;1.9556;1;1.3673;63;11.835653;22207.037;22859.854;100;40
976817;6977.2642;40;2;1;1;1.5357;135;24.387159;15000;27177.035;140;40
711661;6469.6455;41;1;1;1.2833;1.3673;139;29.888617;22207.037;10000;110;41
156168;6246.7202;36;1;1.9556;1.2833;1.3673;60;10.702436;22207.037;22859.854;25;36
960000;7680;35;2;2.2656;2.0741;1.3333;100;13.032712;62269.23;16624.895;125;35
860000;3822.2222;36;1;1;2;1;145;29;62269.23;8000;225;36
694227;8677.8379;28;1;1.9556;1;1;68;13.72185;22207.037;22859.854;80;28
777102;5180.6802;44;1;2;1.5946;1;146;26.096594;17166.666;27177.035;150;44
976817;3256.0566;35;2;1;1;1.5357;142;25.65168;17166.666;27177.035;300;35
770200;2026.8422;41;2;2.2656;2;1.3333;126;16.581347;62269.23;16624.895;380;41
560000;7000;37;2;1.9556;1.2833;1.3673;86;13.018074;2000;4000;80;37
495340;3810.3076;37;1;1.9231;1;1;88;17.874916;17166.666;10000;130;37
1182183;1688.8329;40;1;5;1.2833;1.3673;240;27.74374;22207.037;101552;700;40
694227;12622.31;45;2;1.9556;1;1;116;19.477467;10000;22859.854;55;45
716000;7955.5557;38;1;2;2.0741;2;108;15.26696;62269.23;1750;90;38
976817;4341.4087;39;1.4091001;3;2.2221999;1;122;15.986792;292857.16;71570.555;225;39
495340;2896.7251;40;1;1.9556;1.2833;1.3673;87;15.518533;22207.037;22859.854;171;40
820000;6833.3335;38;1;1;1.2833;1.3673;80;17.202082;22207.037;16000;120;38
1040000;11555.556;38;1;2;1.2833;1.3673;101;17.874208;22207.037;9000;90;38
3545901;23639.34;45;1;4;1;1.3673;228;30.947565;22207.037;12000;150;45
900000;3600;60;3;2;1;1.3333;244;33.272877;62269.23;15720;250;60
436000;7266.6665;37;1;1.9556;1;2;79;13.264827;22207.037;22859.854;60;37
800000;8000;33;1;2;1.2833;1.3673;87;15.396595;22207.037;22859.854;100;33
301133;7528.3252;28;1;1.9556;1;1.3673;56;10.520581;22207.037;22859.854;40;28
495340;7620.6152;41;1;1.9556;1.2833;1;82;15.652141;6000;5000;65;41
1400000;7777.7778;41;2;1.9556;3;1.3673;160;19.224068;22207.037;5000;180;41
640000;3878.7878;34;2;1;1.2833;1.3673;158;27.961632;22207.037;2000;165;34
301133;6022.6602;41;1;1.9556;1.2833;1.3673;40;7.1349578;22207.037;22859.854;50;41
495340;1905.1538;41;1;1;2.0741;1.3333;90;16.643858;62269.23;16624.895;260;41
156168;3904.2;36;1;1.9556;1;1.3673;55;10.332713;22207.037;22859.854;40;36
971500;3736.5386;41;2;1;2;1;171;28.5;292857.16;1483;260;41
812397;9026.6338;38;1;1.9231;1;1.5357;67;12.27376;17166.666;6884;90;38
1054268;10542.68;38;1;1;1.2833;1;132;30.81736;22207.037;15000;100;38
750000;8823.5293;42;1;1;1.2833;1.3673;84;18.062185;22207.037;22859.854;85;42
77369;1547.38;23;1;1.9556;1.2833;1.3673;43;7.6700797;22207.037;22859.854;50;23
126179;3154.4751;33;1;1.9556;1.2833;1.3673;52;9.275445;22207.037;600;40;33
1378586;12883.981;37;1;2;1.2833;1;88;16.656256;22207.037;10000;107;37
694227;10680.415;41;1;4.3590002;1;1.4091001;86;11.070918;292857.16;2000;65;41
1378586;14360.271;37.461498;1.2228;2;4;1.3673;154;17.927614;22207.037;22859.854;96;41.6731
976817;2790.9058;44;2;2;1;1;165;27.5;292857.16;71570.555;350;44
490000;8166.6665;25;1.2228;2;1;1.3673;102;18.246544;22207.037;22859.854;60;25
301133;4182.4028;31;1;1.9556;1.2833;1.3673;62;11.059184;22207.037;1500;72;31
694227;4958.7642;37.461498;2;2;1.2833;1.3673;126;18.94566;22207.037;22859.854;140;41.6731
1130000;13294.117;31;1;2;1.2833;1.3673;132;23.360352;8800;2000;85;31
156168;4338;37.461498;1;1.9556;1.2833;1.3673;62;11.059184;22207.037;22859.854;36;41.6731
976817;13954.528;37;2;2.2656;2.0741;1.3333;116;15.117946;62269.23;16624.895;70;37
1000000;8333.333;39;1;2;1.2833;1.3673;100;17.697235;22207.037;100000;120;39
1926395;19263.949;40;10;4;2.2221999;1.4091001;582;33.009476;292857.16;71570.555;100;40
243517;4427.582;28;1;1.9556;1.2833;1.3673;72;12.842924;22207.037;2476;55;28
301133;3764.1626;39;1;1.9556;1.2833;1;55;10.498387;40000;48450;80;39
4000000;9302.3252;41;1;7;1;1.3673;359;34.628109;22207.037;22859.854;430;41
750000;3750;36;2;1;1;2;173;28.833334;62269.23;16624.895;200;36
301133;3011.3301;39;1;1.9556;1.2833;1.3673;87;15.518533;22207.037;22859.854;100;39
850000;7727.2729;43;1;1;2;1.5357;143;25.832325;17166.666;5000;110;43
301133;2737.5728;35;1;1.9556;1;1.3673;90;16.908077;22207.037;22859.854;110;35
229000;2726.1904;41;1;1.9556;1.2833;1.3673;60;10.702436;22207.037;22859.854;84;41
400000;5000;39;2;2.2656;2.0741;1.3333;80;10.426169;62269.23;16624.895;80;39
976817;15027.954;38;1;1.9556;1;1.3673;110;20.665426;2500;13500;65;38
976817;12210.213;39;2;1.9556;1.2833;1.3673;100;15.137296;22207.037;5000;80;39
1926395;7705.5801;48;1;3;2;1;213;30.428572;292857.16;71570.555;250;48
1378586;5105.874;45;1;1;4;1.3333;178;24.272837;62269.23;16624.895;270;45
2737701;7822.0029;39;1;6;2;1.3333;294;28.451704;62269.23;16624.895;350;39
694227;4958.7642;44;1.4091001;2;2.2221999;1;84;12.667199;292857.16;71570.555;140;44
800000;5333.3335;37;2;1;1;1.5357;192;34.68396;17166.666;2000;150;37
890700;7125.6001;44;1.3238;2;2;1;134;21.189791;62269.23;8000;125;44
1891500;5404.2856;36;1;4;1;3;250;27.777779;292857.16;9500;350;36
60000;300;25;1;1.9556;1.2833;1.3673;50;8.9186974;22207.037;22859.854;200;25
976817;6105.1064;31;1;1;2;1;107;21.4;22207.037;22859.854;160;31
976817;3907.2681;41;1;1;2.2221999;1;86;16.468155;292857.16;71570.555;250;41
976817;3907.2681;41;1;1;2.2221999;1;86;16.468155;292857.16;71570.555;250;41
1076500;5053.9907;39;1;2;3;1.3333;186;25.363752;62269.23;16624.895;213;39
1378586;6352.9307;38;1;4;1.5946;1.5357;191;23.492369;17166.666;27177.035;217;38
409167;5114.5874;37;1;1.9556;1.2833;1;67;12.788944;22207.037;5900;80;37
694227;15427.267;35;1.2228;2;1.2833;1.3673;80;13.62073;22207.037;6000;45;35
900000;5000;39;1;1;2;1;137;27.4;100000;40000;180;39
1926395;5503.9858;41;1;5;3;1.3333;284;27.483959;62269.23;16700;350;41
976817;4884.085;36;1.2228;1;1;1;58;13.734962;22207.037;350;200;36
887000;10313.953;39;1;4.3590002;1;1.4091001;110;14.160477;292857.16;15000;86;39
2737701;10950.804;42;1;4;1;3;274;30.444445;22207.037;22859.854;250;42
1300000;8666.667;39;2;1;1.2833;1;177;33.501789;22207.037;22859.854;150;39
156168;3549.2727;40;1;1.9556;1.2833;1.3673;63;11.237558;22207.037;22859.854;44;40
1000000;10638.298;41;2;2;1;1.3673;184;28.89765;30000;22859.854;94;41
528000;6600;41;1;2.2656;2.0741;1.3333;120;17.982916;62269.23;16624.895;80;41
77369;1934.225;33;1;1.9556;1.2833;1.3673;80;14.269916;22207.037;22859.854;40;33
1926395;13759.964;49;1.2857;2;2;2;136;18.666704;17166.666;27177.035;140;49
694227;6942.27;35;2;1.9231;1.5946;1;65;9.9728432;17166.666;10000;100;35
475000;11309.523;28;1;1.9556;1.2833;1.3673;60;10.702436;22207.037;2000;42;28
800000;5555.5557;41;2;3;2.0741;2;240;26.448904;62269.23;5000;144;41
984717;5182.7212;37;1;3;1.2833;1.3673;162;24.358704;22207.037;22859.854;190;37
77369;859.65558;25;1;2.2656;2.0741;1.3333;90;13.487187;62269.23;16624.895;90;25
976817;4884.085;40;1;1;3;1.3333;133;21.000111;62269.23;16624.895;200;40
495340;6191.75;39;1;1;1;1.3333;131;30.231001;15000;16624.895;80;39
1926395;5665.8677;21;3;1.9556;1.2833;1.3673;120;15.776604;65000;80000;340;21
